ID_ALMACENAMIENTO;NOMBRE;NIVEL_ABASTECIMIENTO;ID_PRODUCTO;CANTIDAD
3;Pepper - Gypsy Pepper;8;Pepper - Gypsy Pepper;494
9;Oven Mitts 17 Inch;9;Oven Mitts 17 Inch;40
1;Pasta - Fusili, Dry;10;Pasta - Fusili, Dry;214
8;Doilies - 12, Paper;4;Doilies - 12, Paper;435
5;Bamboo Shoots - Sliced;10;Bamboo Shoots - Sliced;42
5;Melon - Honey Dew;6;Melon - Honey Dew;789
3;Tart - Butter Plain Squares;7;Tart - Butter Plain Squares;240
8;Hersey Shakes;3;Hersey Shakes;163
8;Dr. Pepper - 355ml;7;Dr. Pepper - 355ml;473
6;Beef - Chuck, Boneless;2;Beef - Chuck, Boneless;277
1;Longos - Grilled Salmon With Bbq;7;Longos - Grilled Salmon With Bbq;966
9;Tray - 12in Rnd Blk;6;Tray - 12in Rnd Blk;9
7;Cherries - Fresh;3;Cherries - Fresh;583
8;Soup - Campbells Mac N Cheese;5;Soup - Campbells Mac N Cheese;908
8;Mushroom - Shitake, Fresh;3;Mushroom - Shitake, Fresh;477
1;Tart - Raisin And Pecan;10;Tart - Raisin And Pecan;890
6;Tray - 16in Rnd Blk;9;Tray - 16in Rnd Blk;496
6;Wine - Cousino Macul Antiguas;6;Wine - Cousino Macul Antiguas;288
2;Assorted Desserts;9;Assorted Desserts;67
5;Veal - Nuckle;5;Veal - Nuckle;26
1;Urban Zen Drinks;7;Urban Zen Drinks;662
7;Muffin - Mix - Strawberry Rhubarb;3;Muffin - Mix - Strawberry Rhubarb;94
7;Veal - Shank, Pieces;3;Veal - Shank, Pieces;169
5;Table Cloth 90x90 Colour;6;Table Cloth 90x90 Colour;413
10;Pastry - Raisin Muffin - Mini;4;Pastry - Raisin Muffin - Mini;342
10;Soho Lychee Liqueur;5;Soho Lychee Liqueur;906
7;Pastry - Raisin Muffin - Mini;5;Pastry - Raisin Muffin - Mini;650
7;Soup - Campbells Beef Strogonoff;7;Soup - Campbells Beef Strogonoff;180
1;Steel Wool;8;Steel Wool;542
6;Sea Urchin;3;Sea Urchin;108
5;Yogurt - Banana, 175 Gr;5;Yogurt - Banana, 175 Gr;438
2;Sole - Dover, Whole, Fresh;5;Sole - Dover, Whole, Fresh;423
5;Beans - Black Bean, Dry;6;Beans - Black Bean, Dry;872
4;Wine - Alsace Gewurztraminer;6;Wine - Alsace Gewurztraminer;504
1;Tobasco Sauce;9;Tobasco Sauce;836
8;Energy Drink;7;Energy Drink;717
4;Wine - Barolo Fontanafredda;5;Wine - Barolo Fontanafredda;157
1;Gelatine Powder;6;Gelatine Powder;218
2;Spinach - Packaged;10;Spinach - Packaged;31
2;Taro Leaves;3;Taro Leaves;972
7;Mushroom Morel Fresh;4;Mushroom Morel Fresh;317
8;Juice - V8 Splash;1;Juice - V8 Splash;689
1;Veal - Tenderloin, Untrimmed;10;Veal - Tenderloin, Untrimmed;666
2;Muffin Hinge Container 6;10;Muffin Hinge Container 6;172
3;Coconut - Creamed, Pure;1;Coconut - Creamed, Pure;85
7;Sauce - Sesame Thai Dressing;7;Sauce - Sesame Thai Dressing;41
4;Cream - 10%;7;Cream - 10%;126
4;Cookie - Oreo 100x2;7;Cookie - Oreo 100x2;274
5;Sauce - Thousand Island;2;Sauce - Thousand Island;561
3;Durian Fruit;9;Durian Fruit;463
9;Flower - Commercial Spider;7;Flower - Commercial Spider;372
4;Pasta - Fettuccine, Egg, Fresh;9;Pasta - Fettuccine, Egg, Fresh;358
7;Beef - Striploin;8;Beef - Striploin;882
9;Olives - Black, Pitted;2;Olives - Black, Pitted;21
3;Bread Bowl Plain;5;Bread Bowl Plain;451
3;Table Cloth 90x90 White;3;Table Cloth 90x90 White;132
4;Kellogs Raisan Bran Bars;1;Kellogs Raisan Bran Bars;697
7;Salmon - Whole, 4 - 6 Pounds;5;Salmon - Whole, 4 - 6 Pounds;571
3;Thyme - Dried;2;Thyme - Dried;625
7;Soup Campbells;5;Soup Campbells;516
3;Cherries - Bing, Canned;9;Cherries - Bing, Canned;864
1;Pear - Packum;2;Pear - Packum;431
8;Ham - Black Forest;2;Ham - Black Forest;121
9;Mints - Striped Red;5;Mints - Striped Red;700
6;Pears - Fiorelle;10;Pears - Fiorelle;732
5;Corn - Mini;1;Corn - Mini;922
9;Sugar - White Packet;10;Sugar - White Packet;156
4;Bar Mix - Lime;6;Bar Mix - Lime;534
2;Vodka - Moskovskaya;8;Vodka - Moskovskaya;896
8;The Pop Shoppe - Grape;5;The Pop Shoppe - Grape;812
6;Sour Puss Raspberry;1;Sour Puss Raspberry;120
7;Pork - Side Ribs;2;Pork - Side Ribs;565
3;Bread - Rolls, Rye;4;Bread - Rolls, Rye;700
8;Knife Plastic - White;2;Knife Plastic - White;120
2;Yams;8;Yams;774
2;Ecolab - Ster Bac;10;Ecolab - Ster Bac;438
8;Brandy - Orange, Mc Guiness;5;Brandy - Orange, Mc Guiness;469
3;Sterno - Chafing Dish Fuel;9;Sterno - Chafing Dish Fuel;381
9;Beef - Rib Roast, Capless;5;Beef - Rib Roast, Capless;572
6;Squid Ink;3;Squid Ink;803
6;Melon - Watermelon Yellow;1;Melon - Watermelon Yellow;102
7;Longos - Burritos;2;Longos - Burritos;833
3;Table Cloth 62x114 Colour;8;Table Cloth 62x114 Colour;946
10;Ginger - Crystalized;9;Ginger - Crystalized;27
6;Sprite - 355 Ml;4;Sprite - 355 Ml;223
2;Pail - 4l White, With Handle;7;Pail - 4l White, With Handle;462
1;Ketchup - Tomato;7;Ketchup - Tomato;68
7;Chips - Miss Vickies;3;Chips - Miss Vickies;274
9;Canada Dry;5;Canada Dry;583
10;Cinnamon - Stick;1;Cinnamon - Stick;17
7;Pur Source;3;Pur Source;660
9;Rice Wine - Aji Mirin;3;Rice Wine - Aji Mirin;574
9;Peach - Halves;2;Peach - Halves;544
7;Veal - Heart;1;Veal - Heart;836
10;Langers - Cranberry Cocktail;9;Langers - Cranberry Cocktail;434
10;Macaroons - Homestyle Two Bit;1;Macaroons - Homestyle Two Bit;614
8;Amarula Cream;6;Amarula Cream;272
10;Rosemary - Fresh;6;Rosemary - Fresh;303
10;Chocolate - Compound Coating;3;Chocolate - Compound Coating;513
10;Bar Nature Valley;6;Bar Nature Valley;885
2;Appetizer - Tarragon Chicken;10;Appetizer - Tarragon Chicken;766
3;Truffle - Whole Black Peeled;1;Truffle - Whole Black Peeled;577
8;Coffee - Hazelnut Cream;6;Coffee - Hazelnut Cream;940
3;Cookie Double Choco;5;Cookie Double Choco;124
5;Cheese - Bocconcini;3;Cheese - Bocconcini;676
2;Pastry - Carrot Muffin - Mini;9;Pastry - Carrot Muffin - Mini;392
8;Cactus Pads;7;Cactus Pads;732
6;Bread Sour Rolls;5;Bread Sour Rolls;162
1;Rice - Jasmine Sented;10;Rice - Jasmine Sented;967
8;Food Colouring - Red;10;Food Colouring - Red;183
8;Creamers - 10%;4;Creamers - 10%;446
5;Potatoes - Parissienne;9;Potatoes - Parissienne;877
4;Snapple Lemon Tea;3;Snapple Lemon Tea;598
2;Beef - Ground Medium;4;Beef - Ground Medium;898
1;Energy Drink - Redbull 355ml;5;Energy Drink - Redbull 355ml;136
9;Sachet;3;Sachet;690
10;General Purpose Trigger;1;General Purpose Trigger;351
9;Sage Derby;4;Sage Derby;891
3;Oil - Macadamia;10;Oil - Macadamia;622
8;Kellogs Special K Cereal;3;Kellogs Special K Cereal;268
7;Lemonade - Natural, 591 Ml;7;Lemonade - Natural, 591 Ml;705
7;Beef - Shank;9;Beef - Shank;829
6;Beef - Ground, Extra Lean, Fresh;2;Beef - Ground, Extra Lean, Fresh;977
4;Tomato - Green;1;Tomato - Green;315
6;Red Cod Fillets - 225g;7;Red Cod Fillets - 225g;977
7;Bread - Kimel Stick Poly;6;Bread - Kimel Stick Poly;326
1;Sugar - Brown;5;Sugar - Brown;456
3;Compound - Pear;5;Compound - Pear;301
4;Nacho Chips;3;Nacho Chips;344
3;Chicken - Whole Roasting;4;Chicken - Whole Roasting;357
10;Gatorade - Xfactor Berry;7;Gatorade - Xfactor Berry;827
6;Dried Figs;10;Dried Figs;711
2;Sponge Cake Mix - Chocolate;6;Sponge Cake Mix - Chocolate;763
2;Chef Hat 20cm;9;Chef Hat 20cm;480
8;Aspic - Clear;6;Aspic - Clear;375
9;Nut - Peanut, Roasted;10;Nut - Peanut, Roasted;650
4;Cheese - Blue;5;Cheese - Blue;13
7;Mustard - Pommery;1;Mustard - Pommery;75
10;Dried Apple;4;Dried Apple;802
5;Island Oasis - Lemonade;6;Island Oasis - Lemonade;215
2;Beef - Tenderloin - Aa;10;Beef - Tenderloin - Aa;782
9;Beef - Tenderlion, Center Cut;1;Beef - Tenderlion, Center Cut;895
10;Iced Tea - Lemon, 460 Ml;9;Iced Tea - Lemon, 460 Ml;721
2;Pasta - Elbows, Macaroni, Dry;4;Pasta - Elbows, Macaroni, Dry;473
5;Potatoes - Peeled;3;Potatoes - Peeled;281
2;Chinese Foods - Pepper Beef;1;Chinese Foods - Pepper Beef;744
1;Wine - Rosso Del Veronese Igt;6;Wine - Rosso Del Veronese Igt;391
3;Tart Shells - Savory, 3;1;Tart Shells - Savory, 3;443
5;Snapple - Mango Maddness;3;Snapple - Mango Maddness;197
7;Coffee Guatemala Dark;4;Coffee Guatemala Dark;246
8;Bacon Strip Precooked;6;Bacon Strip Precooked;768
6;Creme De Banane - Marie;3;Creme De Banane - Marie;511
9;Beef - Rouladin, Sliced;10;Beef - Rouladin, Sliced;529
9;Energy - Boo - Koo;1;Energy - Boo - Koo;932
1;Crab - Meat;1;Crab - Meat;399
5;Lamb - Leg, Boneless;10;Lamb - Leg, Boneless;890
4;Lettuce - Frisee;3;Lettuce - Frisee;556
6;Muffin - Bran Ind Wrpd;7;Muffin - Bran Ind Wrpd;851
2;Sambuca - Ramazzotti;10;Sambuca - Ramazzotti;100
4;Energy Drink;10;Energy Drink;292
5;Mackerel Whole Fresh;6;Mackerel Whole Fresh;426
8;Pasta - Cheese / Spinach Bauletti;4;Pasta - Cheese / Spinach Bauletti;358
6;Wine - Cousino Macul Antiguas;3;Wine - Cousino Macul Antiguas;91
8;Papayas;8;Papayas;511
2;Beer - Mcauslan Apricot;5;Beer - Mcauslan Apricot;126
4;Bouillion - Fish;3;Bouillion - Fish;661
9;Burger Veggie;7;Burger Veggie;519
2;Juice - Clam, 46 Oz;3;Juice - Clam, 46 Oz;188
10;Grenadillo;1;Grenadillo;532
4;Tea Leaves - Oolong;4;Tea Leaves - Oolong;853
9;Vinegar - White Wine;1;Vinegar - White Wine;703
7;Banana - Leaves;3;Banana - Leaves;82
3;Tomatoes - Heirloom;9;Tomatoes - Heirloom;586
7;Muffin - Blueberry Individual;4;Muffin - Blueberry Individual;819
5;Plums - Red;4;Plums - Red;329
9;Beets;5;Beets;90
8;Wine - Kwv Chenin Blanc South;7;Wine - Kwv Chenin Blanc South;538
3;Wine - Pinot Noir Latour;3;Wine - Pinot Noir Latour;937
9;Chef Hat 20cm;3;Chef Hat 20cm;361
2;Duck - Breast;6;Duck - Breast;359
9;Pork - Side Ribs;5;Pork - Side Ribs;548
5;Wanton Wrap;1;Wanton Wrap;648
10;Lid Tray - 12in Dome;8;Lid Tray - 12in Dome;158
3;Turnip - White, Organic;2;Turnip - White, Organic;984
7;Bread - Crumbs, Bulk;7;Bread - Crumbs, Bulk;896
5;Olives - Morracan Dired;7;Olives - Morracan Dired;190
1;Venison - Striploin;2;Venison - Striploin;560
7;Flounder - Fresh;1;Flounder - Fresh;382
3;Yeast Dry - Fermipan;4;Yeast Dry - Fermipan;917
4;Shrimp - Baby, Cold Water;2;Shrimp - Baby, Cold Water;344
4;Bacardi Mojito;2;Bacardi Mojito;998
9;Pastry - Mini French Pastries;6;Pastry - Mini French Pastries;318
5;Beef - Tender Tips;3;Beef - Tender Tips;44
2;Coffee - Hazelnut Cream;8;Coffee - Hazelnut Cream;736
9;Lemonade - Island Tea, 591 Ml;6;Lemonade - Island Tea, 591 Ml;172
4;Soup - Verve - Chipotle Chicken;7;Soup - Verve - Chipotle Chicken;473
7;Pepper - Orange;3;Pepper - Orange;769
10;Cardamon Seed / Pod;1;Cardamon Seed / Pod;168
9;Tumeric;10;Tumeric;978
1;Shrimp - Black Tiger 8 - 12;1;Shrimp - Black Tiger 8 - 12;486
9;Vinegar - Rice;8;Vinegar - Rice;524
9;Arrowroot;6;Arrowroot;764
6;Pasta - Detalini, White, Fresh;7;Pasta - Detalini, White, Fresh;68
8;Thermometer Digital;10;Thermometer Digital;721
4;Radish - Black, Winter, Organic;7;Radish - Black, Winter, Organic;736
6;Vodka - Lemon, Absolut;9;Vodka - Lemon, Absolut;289
7;Pepper - White, Whole;6;Pepper - White, Whole;387
8;Salt And Pepper Mix - Black;9;Salt And Pepper Mix - Black;555
10;Appetizer - Assorted Box;7;Appetizer - Assorted Box;272
5;Cookies - Englishbay Chochip;10;Cookies - Englishbay Chochip;695
5;Dawn Professionl Pot And Pan;3;Dawn Professionl Pot And Pan;778
9;Lettuce - Spring Mix;6;Lettuce - Spring Mix;776
1;Coffee Cup 12oz 5342cd;5;Coffee Cup 12oz 5342cd;739
6;Anchovy In Oil;1;Anchovy In Oil;225
3;Wine - German Riesling;2;Wine - German Riesling;563
3;Icecream - Dibs;7;Icecream - Dibs;330
9;Bread - 10 Grain Parisian;4;Bread - 10 Grain Parisian;940
10;Lettuce - California Mix;3;Lettuce - California Mix;289
7;Bar Energy Chocchip;2;Bar Energy Chocchip;452
3;Mahi Mahi;5;Mahi Mahi;286
5;Pork - Loin, Bone - In;1;Pork - Loin, Bone - In;927
5;The Pop Shoppe - Lime Rickey;1;The Pop Shoppe - Lime Rickey;746
10;Hersey Shakes;3;Hersey Shakes;754
9;Bouillion - Fish;8;Bouillion - Fish;15
2;Container - Hngd Cll Blk 7x7x3;3;Container - Hngd Cll Blk 7x7x3;324
9;Halibut - Whole, Fresh;8;Halibut - Whole, Fresh;298
5;Yeast Dry - Fermipan;4;Yeast Dry - Fermipan;588
7;Chinese Foods - Cantonese;10;Chinese Foods - Cantonese;373
8;Pastry - Carrot Muffin - Mini;8;Pastry - Carrot Muffin - Mini;938
2;Latex Rubber Gloves Size 9;4;Latex Rubber Gloves Size 9;580
1;Crab - Back Fin Meat, Canned;6;Crab - Back Fin Meat, Canned;956
1;Hipnotiq Liquor;8;Hipnotiq Liquor;139
2;Rabbit - Frozen;8;Rabbit - Frozen;868
6;Tea - Darjeeling, Azzura;10;Tea - Darjeeling, Azzura;874
2;Beer - Paulaner Hefeweisse;4;Beer - Paulaner Hefeweisse;915
6;Fireball Whisky;6;Fireball Whisky;344
7;Veal - Tenderloin, Untrimmed;9;Veal - Tenderloin, Untrimmed;215
3;Bread - Onion Focaccia;7;Bread - Onion Focaccia;553
7;Artichokes - Jerusalem;10;Artichokes - Jerusalem;514
4;Coriander - Ground;10;Coriander - Ground;582
8;Apricots Fresh;9;Apricots Fresh;902
4;Lettuce - Radicchio;4;Lettuce - Radicchio;635
6;Food Colouring - Blue;5;Food Colouring - Blue;871
9;Coffee - Decafenated;5;Coffee - Decafenated;777
5;Bouillion - Fish;4;Bouillion - Fish;297
8;Beans - Fava Fresh;9;Beans - Fava Fresh;543
8;Corn Meal;7;Corn Meal;854
8;Thermometer Digital;4;Thermometer Digital;859
10;Wine - Spumante Bambino White;4;Wine - Spumante Bambino White;297
2;Spinach - Baby;8;Spinach - Baby;95
10;Chocolate Bar - Reese Pieces;2;Chocolate Bar - Reese Pieces;375
4;Orange - Blood;6;Orange - Blood;224
10;Wine - Prosecco Valdobiaddene;7;Wine - Prosecco Valdobiaddene;571
1;Appetizer - Veg Assortment;6;Appetizer - Veg Assortment;25
7;Nestea - Ice Tea, Diet;8;Nestea - Ice Tea, Diet;973
7;Wine - Harrow Estates, Vidal;7;Wine - Harrow Estates, Vidal;225
5;Nut - Hazelnut, Ground, Natural;10;Nut - Hazelnut, Ground, Natural;935
4;Pepper - Green Thai;4;Pepper - Green Thai;276
10;Wooden Mop Handle;2;Wooden Mop Handle;600
5;Beans - Kidney, Canned;5;Beans - Kidney, Canned;784
5;Beans - Long, Chinese;1;Beans - Long, Chinese;848
5;Yogurt - Cherry, 175 Gr;8;Yogurt - Cherry, 175 Gr;1
6;Plaintain;7;Plaintain;411
7;Glass Clear 7 Oz Xl;10;Glass Clear 7 Oz Xl;16
1;Sausage - Liver;4;Sausage - Liver;313
10;Appetizer - Sausage Rolls;3;Appetizer - Sausage Rolls;517
6;Breadfruit;8;Breadfruit;398
4;Basil - Dry, Rubbed;6;Basil - Dry, Rubbed;543
7;Sauce - Sesame Thai Dressing;7;Sauce - Sesame Thai Dressing;553
5;Pork - Smoked Kassler;7;Pork - Smoked Kassler;326
3;Beans - Butter Lrg Lima;10;Beans - Butter Lrg Lima;261
10;Coffee - Dark Roast;1;Coffee - Dark Roast;989
1;Melon - Honey Dew;7;Melon - Honey Dew;169
6;Cake - Miini Cheesecake Cherry;8;Cake - Miini Cheesecake Cherry;308
3;Mountain Dew;3;Mountain Dew;201
1;Chip - Potato Dill Pickle;10;Chip - Potato Dill Pickle;809
8;Scampi Tail;3;Scampi Tail;951
1;Grapes - Green;3;Grapes - Green;782
7;Paste - Black Olive;4;Paste - Black Olive;461
8;Russian Prince;2;Russian Prince;902
1;Gingerale - Schweppes, 355 Ml;2;Gingerale - Schweppes, 355 Ml;193
2;Hand Towel;6;Hand Towel;622
7;Lamb - Leg, Boneless;2;Lamb - Leg, Boneless;21
1;Sweet Pea Sprouts;2;Sweet Pea Sprouts;480
1;Coconut - Whole;6;Coconut - Whole;894
6;Lobster - Baby, Boiled;10;Lobster - Baby, Boiled;736
4;Cheese - Gorgonzola;5;Cheese - Gorgonzola;565
6;Broccoli - Fresh;10;Broccoli - Fresh;85
4;Cherries - Frozen;2;Cherries - Frozen;46
2;Rice Pilaf, Dry,package;1;Rice Pilaf, Dry,package;53
6;Pork - Shoulder;6;Pork - Shoulder;662
1;Pear - Prickly;10;Pear - Prickly;155
1;Pineapple - Regular;5;Pineapple - Regular;447
10;Potatoes - Mini Red;2;Potatoes - Mini Red;211
5;Table Cloth 72x144 White;10;Table Cloth 72x144 White;261
1;Bread - Olive;6;Bread - Olive;156
1;Teriyaki Sauce;4;Teriyaki Sauce;348
4;Pineapple - Golden;7;Pineapple - Golden;958
5;Soup - Knorr, Chicken Gumbo;5;Soup - Knorr, Chicken Gumbo;614
2;Ecolab Silver Fusion;1;Ecolab Silver Fusion;825
6;Lamb - Leg, Bone In;5;Lamb - Leg, Bone In;635
6;Soup - Beef Conomme, Dry;1;Soup - Beef Conomme, Dry;328
2;Bread - Kimel Stick Poly;5;Bread - Kimel Stick Poly;680
2;Bagelers;6;Bagelers;743
8;Butter Balls Salted;3;Butter Balls Salted;905
6;Soup - Campbells, Lentil;4;Soup - Campbells, Lentil;195
2;Arrowroot;9;Arrowroot;369
6;Pork - Belly Fresh;5;Pork - Belly Fresh;985
5;Rice - Aborio;3;Rice - Aborio;451
5;Vinegar - Cider;4;Vinegar - Cider;695
3;Sauce - Cranberry;1;Sauce - Cranberry;236
9;Juice - Grape, White;6;Juice - Grape, White;56
6;Table Cloth 53x53 White;3;Table Cloth 53x53 White;802
10;Olives - Morracan Dired;4;Olives - Morracan Dired;586
1;Piping - Bags Quizna;8;Piping - Bags Quizna;799
6;Clam Nectar;6;Clam Nectar;315
5;Onions - Cooking;9;Onions - Cooking;748
8;Doilies - 12, Paper;2;Doilies - 12, Paper;727
5;Quail - Whole, Bone - In;5;Quail - Whole, Bone - In;13
3;Stock - Beef, White;7;Stock - Beef, White;626
9;Aspic - Light;3;Aspic - Light;965
9;Hot Choc Vending;5;Hot Choc Vending;260
1;Bagel - Everything;9;Bagel - Everything;264
7;Lobster - Cooked;7;Lobster - Cooked;705
5;Soup - Canadian Pea, Dry Mix;6;Soup - Canadian Pea, Dry Mix;791
2;Shrimp - 16 - 20 Cooked, Peeled;1;Shrimp - 16 - 20 Cooked, Peeled;231
8;Carrots - Mini Red Organic;1;Carrots - Mini Red Organic;492
1;Glaze - Clear;8;Glaze - Clear;559
8;Extract - Raspberry;5;Extract - Raspberry;384
3;Pectin;10;Pectin;127
9;Frangelico;2;Frangelico;692
9;Cheese Cheddar Processed;1;Cheese Cheddar Processed;739
2;Flavouring - Raspberry;5;Flavouring - Raspberry;278
5;Wine - Magnotta - Bel Paese White;9;Wine - Magnotta - Bel Paese White;512
5;Peas - Frozen;1;Peas - Frozen;370
5;Coffee - Frthy Coffee Crisp;10;Coffee - Frthy Coffee Crisp;8
2;Cheese - Sheep Milk;2;Cheese - Sheep Milk;229
6;Juice - Propel Sport;3;Juice - Propel Sport;755
8;Dc Hikiage Hira Huba;10;Dc Hikiage Hira Huba;992
8;Asparagus - White, Canned;10;Asparagus - White, Canned;719
6;Bagel - Whole White Sesame;7;Bagel - Whole White Sesame;318
3;Wine - Prosecco Valdobienne;2;Wine - Prosecco Valdobienne;902
2;Breakfast Quesadillas;3;Breakfast Quesadillas;522
7;Potatoes - Peeled;6;Potatoes - Peeled;56
10;Sugar - Fine;9;Sugar - Fine;652
8;Wine - Ej Gallo Sonoma;3;Wine - Ej Gallo Sonoma;737
10;Wine - Cabernet Sauvignon;8;Wine - Cabernet Sauvignon;571
7;V8 - Vegetable Cocktail;7;V8 - Vegetable Cocktail;689
6;Ginger - Fresh;8;Ginger - Fresh;160
10;Pepper - Chili Powder;10;Pepper - Chili Powder;845
7;Chicken - Base, Ultimate;3;Chicken - Base, Ultimate;360
3;Cloves - Whole;1;Cloves - Whole;144
1;Garlic - Peeled;1;Garlic - Peeled;45
8;Beef - Ox Tongue, Pickled;3;Beef - Ox Tongue, Pickled;95
3;Wine - Shiraz South Eastern;10;Wine - Shiraz South Eastern;839
6;Sauce - Oyster;3;Sauce - Oyster;291
5;Apple - Delicious, Red;9;Apple - Delicious, Red;820
4;Spoon - Soup, Plastic;4;Spoon - Soup, Plastic;434
2;Pear - Halves;7;Pear - Halves;855
3;Cocktail Napkin Blue;6;Cocktail Napkin Blue;832
5;Wine - Saint Emilion Calvet;10;Wine - Saint Emilion Calvet;804
10;Instant Coffee;3;Instant Coffee;326
3;Plate Pie Foil;1;Plate Pie Foil;863
8;Bulgar;5;Bulgar;830
3;Bread - Olive Dinner Roll;5;Bread - Olive Dinner Roll;415
8;Bread - Onion Focaccia;4;Bread - Onion Focaccia;460
6;Snapple Raspberry Tea;10;Snapple Raspberry Tea;752
8;Beans - Navy, Dry;5;Beans - Navy, Dry;203
7;Truffle Cups - Red;5;Truffle Cups - Red;678
5;Celery Root;5;Celery Root;854
9;Crab Meat Claw Pasteurise;4;Crab Meat Claw Pasteurise;35
8;Soup - Boston Clam Chowder;1;Soup - Boston Clam Chowder;624
1;Eggplant - Asian;6;Eggplant - Asian;751
9;Puree - Guava;10;Puree - Guava;84
3;Chocolate - Dark Callets;3;Chocolate - Dark Callets;489
1;Sour Puss Raspberry;10;Sour Puss Raspberry;954
